datetime,demand_mw,load_shedding,temp_mean,wspd_mean
2020-01-01 03:00:00,5351,0,18.65,1.8
2020-01-01 06:00:00,5346,0,23.73,3.0
2020-01-01 09:00:00,6654,0,25.25,4.58
2020-01-01 12:00:00,6750,0,21.05,2.17
2020-01-01 15:00:00,6546,0,18.82,0.3
2020-01-01 18:00:00,8004,0,17.67,1.8
2020-01-01 21:00:00,8001,0,17.0,0.9
2020-01-02 03:00:00,5253,0,19.27,2.47
2020-01-02 06:00:00,5317,0,24.18,3.68
2020-01-02 09:00:00,6553,0,25.4,1.8
2020-01-02 12:00:00,6968,0,21.87,0.6
2020-01-02 15:00:00,6598,0,20.23,0.9
2020-01-02 18:00:00,8369,0,19.23,1.22
2020-01-02 21:00:00,8231,0,18.33,0.9
2020-01-03 03:00:00,5363,0,18.02,4.28
2020-01-03 06:00:00,4682,0,20.4,12.02
2020-01-03 09:00:00,4830,0,21.12,6.47
2020-01-03 12:00:00,5508,0,18.85,3.38
2020-01-03 15:00:00,5266,0,17.95,2.12
2020-01-03 18:00:00,7279,0,17.43,1.5
2020-01-03 21:00:00,7095,0,16.85,0.9
2020-01-04 03:00:00,4690,0,17.93,1.52
2020-01-04 06:00:00,4822,0,20.4,2.47
2020-01-04 09:00:00,6005,0,22.73,3.38
2020-01-04 12:00:00,6109,0,19.37,1.2
2020-01-04 15:00:00,6090,0,17.83,0.0
2020-01-04 18:00:00,7953,0,17.05,0.3
2020-01-04 21:00:00,7978,0,16.72,0.6
2020-01-05 03:00:00,5249,0,18.18,3.3
2020-01-05 06:00:00,5304,0,20.18,4.65
2020-01-05 09:00:00,6492,0,22.27,5.57
2020-01-05 12:00:00,6765,0,19.47,2.17
2020-01-05 18:00:00,7923,0,15.97,2.1
2020-01-05 21:00:00,8010,0,14.67,3.07
2020-01-06 03:00:00,5379,0,16.07,3.08
2020-01-06 06:00:00,5433,0,20.7,8.02
2020-01-06 09:00:00,6505,0,21.87,6.77
2020-01-06 12:00:00,6549,0,18.0,2.77
2020-01-06 15:00:00,6393,0,15.65,2.4
2020-01-06 18:00:00,8133,0,14.47,3.75
